"ORF","log2FoldChange","padj","SGD","GENENAME"
"YJL052W",-5.35,7.62e-162,"S000003588","TDH1"
"YGL055W",-4.635,1.7e-142,"S000003023","OLE1"
"YGR087C",-4.993,3.47e-130,"S000003319","PDC6"
"YIR019C",5.446,3.47e-130,"S000001458","FLO11"
"YHR094C",-4.976,2.21e-126,"S000001136","HXT1"
"YNR073C",8.179,4.33e-114,"S000005356","MAN2"
"YNR071C",9.02,1.78e-102,"S000005354",NA
"YJR152W",-3.411,9.73e-102,"S000003913","DAL5"
"YKL164C",3.983,2.89e-98,"S000001647","PIR1"
"YNR072W",5.477,1.7e-93,"S000005355","HXT17"
"YCR012W",-4.233,1.78e-90,"S000000605","PGK1"
"YOR273C",-3.963,4.8e-85,"S000005799","TPO4"
"YJL158C",4.385,6.42e-78,"S000003694","CIS3"
"YGR088W",-4.414,8.05e-77,"S000003320","CTT1"
"YPL106C",3.301,5.53e-74,"S000006027","SSE1"
"YGR125W",-2.347,2.93e-72,"S000003357","VSB1"
"YPL095C",-3.787,1.07e-66,"S000006016","EEB1"
"YGR060W",-2.862,5.11e-65,"S000003292","ERG25"
"YMR145C",3.315,5.8e-63,"S000004753","NDE1"
"YKR075C",3.353,1.08e-62,"S000001783",NA
